csv_id,adult,id,imdb_id,original_language,overview,Unnamed: 10,Unnamed: 11,popularity,release_date,runtime,status,tagline,title,vote_average,vote_count,poster_path,genre
45005,FALSE,432615,tt6333054,en,"Coral reefs are the nursery for all life in the oceans, a remarkable ecosystem that sustains us. Yet with carbon emissions warming the seas, a phenomenon called coral bleachingâ sign of mass coral deathâhe has been accelerating around the world, and the public has no idea of the scale or implication of the catastrophe silently raging underwater.",,,1.251518,3/16/17,93,Released,,Chasing Coral,8.7,14,https://image.tmdb.org/t/p/original/c1RxAfjPsSWV1PxuxnJM9BXMTFP.jpg,Documentary
45006,FALSE,433067,tt5875666,en,"A groundbreaking film that portrays the journey of Gigi Lazzarato, a fearless woman who began life as Gregory, posting fashion videos to YouTube from his bedroom, only to later come out as a transgender female. With never-before-seen personal footage, the film spotlights a family unwavering love for a child.",,,0.343367,1/24/17,91,Post Production,,This Is Everything: Gigi Gorgeous,5.3,3,https://image.tmdb.org/t/p/original/BbL1CHIKYIOY7wi3xEKWDxR4RK.jpg,Documentary
45009,FALSE,430834,tt6290202,en,"Uncovering the profiteering of the state''s water barons and how they affect farmers, average citizens, and unincorporated towns throughout California.",,,0.225292,1/23/17,87,Post Production,,Water & Power: A California Heist,7.5,2,https://image.tmdb.org/t/p/original/mgxvMjVTCPVu2izLJjUqgs6bDWN.jpg,Documentary
45010,FALSE,415086,tt5541848,en,"What the Health is a ground breaking feature length documentary from the award-winning filmmakers of Cowspiracy, that follows the exciting journey of intrepid filmmaker, Kip Andersen, as he uncovers the impacts of highly processed industrial animal foods on our personal health and  greater community, and explores why leading health organizations continue to promote the industry despite countless medical studies and research showing deleterious effects of these products on our health.",,,7.754452,3/16/17,97,Released,,What the Health,7.9,46,https://image.tmdb.org/t/p/original/4gfJUbwkByWNPlqDxuV1SvsdHKA.jpg,Documentary
45011,FALSE,433084,tt6333072,en,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leader in Hong Kong and one of China most notorious dissidents.",,,0.592573,1/20/17,78,Released,,Joshua: Teenager vs. Superpower,6.9,7,https://image.tmdb.org/t/p/original/iYbVLaNHnfyR53hOHNosUKADPJ2.jpg,Documentary
45012,FALSE,422842,tt6203026,en,"Former prosecutor-turned-therapist Hailey Dean is a powerhouse, Mensa bright, and acutely observant. During a tragic week, one of her patients loses her parents to separate fatal accidents along with millions of dollars that has seemingly vanished into thin air. When the police begin to question Hailey''s patient, shes knows she is innocent. But who is the culprit?",,,0.223859,10/23/16,90,Released,,"Hailey Dean Mystery: Murder, With Love",6,1,https://image.tmdb.org/t/p/original/2vlRtD1ApgW49YW5qDndy16XU6Z.jpg,"TVMovie, Mystery"
45014,FALSE,455675,tt6334884,en,"Legendary Lawman and Gunslinger Wild Bill Hickok, is tasked with taming the wildest cow-town in the West, while delivering his own brand of frontier Justice and infamous gunfighter''s reputation as the fastest draw in the West is put to the test",,,2.747249,7/7/17,88,In Production,,Hickok,5,9,https://image.tmdb.org/t/p/original/8px66iPQEfw5CRp8DwyQp46oynE.jpg,Western
45015,FALSE,345916,tt4723724,en,"When a gay couple''s impending wedding hits a snag, the grooms must rely on their friends and family to see them through.",,,0.814903,7/7/17,92,Released,,Do You Take This Man,0,0,https://image.tmdb.org/t/p/original/nZdifMku2bcZKZCu7xyrVEU09Le.jpg,Drama
45016,FALSE,353491,tt1648190,en,"The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.",,,50.903593,8/3/17,95,Released,There are other worlds than these,The Dark Tower,5.7,688,https://image.tmdb.org/t/p/original/ddVPZgCrJisjMfqluy2yNn0M2i2.jpg,"Action, Western, ScienceFiction, Fantasy, Horror"
45017,FALSE,458335,tt3332372,pt,,,,0.270556,7/6/17,,Released,,Soundtrack,0,0,https://image.tmdb.org/t/p/original/i9GUSgddIqrroubiLsvvMRYyRy0.jpg,Drama
45018,FALSE,369406,tt4836736,en,"A year after the boys crossed dimensions, discovered magic and battled the restoring demon, they are back home in Bremin and are struggling with everyday teenage life. Felix has high hopes for the four heroes. He wants them to push the limits of their magical ability, working as a team to become masters of the arcane. But although he''s unwilling to admit it, the boys have grown apart. The boys, once in perfect magical and elemental alignment, are a tangle of rivalry and distrust.  On the verge of separating, the Nowhere Boys are drawn together for one last spell when Felix discovers a magically sealed ''Book of Shadows''. Unwittingly this releases a powerful force of chaos, and the gang is reluctantly drawn into a showdown that threatens their world and all they love...",,,1.301415,1/1/16,80,Released,,Nowhere Boys: The Book of Shadows,5.4,10,https://image.tmdb.org/t/p/original/qqYrHnstbeUa7CnTNzfxMpq2vLx.jpg,ScienceFiction
45020,FALSE,290283,tt3159818,en,"In Brixton, London, 15-year-old Layla gets sucked into gang activity.",,,0.309684,5/8/15,93,Released,,Honeytrap,5.5,2,https://image.tmdb.org/t/p/original/n97zRq5ILhAFpgFSXMUsPsOkYQ6.jpg,"Romance, Drama, Crime"
45021,FALSE,351192,tt2296747,fr,"In may 1940, the German troops enter France. Frightened by the progress of the enemy, the people of a small village of Pas-de-Calais decide on the recommendations of the prefecture, to give up everything to go on the road, fleeing to the coast.",,,2.793913,11/4/15,114,Released,,Come What May,5.5,13,https://image.tmdb.org/t/p/original/sg7IMop8ClU5QmZVE9PBVOhd3dn.jpg,"War, Drama"
45034,FALSE,16839,tt0179835,en,"Six London school-leavers attempt to make it in the world, balancing the challenge of trying to make a name for themselves in the music industry against the pressures and tragedies of everyday life.",,,0.50008,10/1/99,117,Released,Time starts here...,G:MT Greenwich Mean Time,5,6,https://image.tmdb.org/t/p/original/fG2SZwAAY4mNscLfvSiKyBxaVQy.jpg,"Crime, Drama"
45038,FALSE,404733,tt1935194,en,"Master car thieves square off against French gangsters in the South of France with money, women and lives all on the line.",,,24.124945,6/29/17,93,Released,,Overdrive,6.2,76,https://image.tmdb.org/t/p/original/walR4ri5Fj4oyVojZOR5VIeqrZZ.jpg,"Thriller, Action"
45039,FALSE,77519,tt0214878,fr,French philosopher Denis Diderot produces the first encyclopedia while indulging in 18th-century decadence.,,,1.434689,3/15/00,100,Released,,The Libertine,6.4,4,https://image.tmdb.org/t/p/original/a0hTRjis1cxwmjOuBaS7WdDG3dj.jpg,"History, Comedy"
45042,FALSE,114146,tt0002113,fr,"A science fantasy film that deals with an extraordinary race to the north pole by rival parties of balloonists. Based on the novel ""The Adventures of Captain Hatteras"" by Jules Verne.",,,0.462066,1/1/12,33,Released,,The Conquest of the Pole,6.6,5,https://image.tmdb.org/t/p/original/pRecX1Ekr1CSyly2VToB4X5BoxG.jpg,"Adventure, Comedy, ScienceFiction"
45044,FALSE,80303,tt0296236,ja,"Comedy about a group of chemistry students who organize a cheating scam during their final exams. Amuro Namie, the top pop music sensation, plays one of the students.",,,0.142684,8/10/96,98,Released,,That''s Cunning! Shijo Saidai no Sakusen?,5.5,4,https://image.tmdb.org/t/p/original/xIjplbyfFDbHsN7ZK40klO5nnUw.jpg,Comedy
45046,FALSE,382751,tt5140182,en,"Set against a backdrop of the Israeli-Palestinian conflict, Palestinian rapper Kareem and his singer girlfriend Manar struggle, love and make music in their crime-ridden ghetto and Tel Aviv''s hip-hop club scene.",,,0.233651,2/13/16,97,Released,,Junction 48,8,2,https://image.tmdb.org/t/p/original/x5K8dpvgb3C3GtCtQWo1PhUkXGP.jpg,"Drama, Action, Crime"
45048,FALSE,401132,tt5720450,en,"Aliens invade, this time delivering a clear ultimatum. The fate of humanity hangs in the balance as the U.S. President and citizens decide if these aliens are to be trusted ...or feared.",,,1.565396,6/7/16,91,Released,"The revolution begins, again!",Independents'' Day,3.9,25,https://image.tmdb.org/t/p/original/8zeLG0rMdisgJuby8ClFA4Vmzpz.jpg,"Action, ScienceFiction"
45051,FALSE,260969,tt0096503,ru,Drama film about different lifes of twin brothers.,,,0.102196,1/1/88,101,Released,,Kerosene Salesman''s Wife,7,2,https://image.tmdb.org/t/p/original/aMOR9OtWaH3v4Ui7Hq5Rx0TEFUA.jpg,Drama
45053,FALSE,65104,tt0466103,en,"The genre of the film DUST could be called fantastic realism or existential drama with elements of the fantastic. Dust means the haste in which people live. Dust is a common misconception, the natural clogging up of the brain. Specks of dust how scientists perceive people, scientists who think they know more than anyone else about the universe.",,,0.901892,6/17/05,107,Released,,Dust,5.4,9,https://image.tmdb.org/t/p/original/iJLXLPUAfifEMXx1FTtZBzAYnYI.jpg,"Comedy, Drama, ScienceFiction"
45058,FALSE,194097,tt0073566,it,"Betrayed by his girl and best friend, thief Harry Chapman (Lee Van Cleef) takes the fall for a racetrack robbery. While in prison, he is offered a chance to participate in an escape plan. What he doesn''t know is that once he is on the outside, the group responsible for the prison break has Harry in their debt and they use him as a hit-man. Naturally, he grows tired of the job and splits because he is hellbent on getting revenge on the former partners. So the mob puts young hit-man Luc (Robert Widmark) on Harry''s trail.",,,0.003748,11/30/77,85,Released,,The Perfect Killer,0,0,https://image.tmdb.org/t/p/original/pDhtvE8yJeqRwm9zrQxUJkLi2YI.jpg,"Action, Crime"
45067,FALSE,54988,tt0251613,en,"Tony Palmer''s film, thought lost for almost 40 years, about Leonard Cohen''s 1972 European tour, has now been pieced together from almost 3,000 fragments and restored to its former glory. A unique record of a major poet and singer/songwriter at the height of his powers.",,,1.00E-06,7/5/74,105,Released,,Bird on a Wire,6,2,https://image.tmdb.org/t/p/original/itjxxb8I1TfK1H3TGvrs5aJDM9a.jpg,Documentary
45080,FALSE,465044,tt5943940,en,"A horror comedy spoofing conspiracy theory moves, girl victim films, and Alien Grey abduction movies.  Melissa rescues a young woman from a mental hospital where no-one believes she is a victim of abduction by aliens. She and a colleague try to prevent the aliens from taking her but a government agent seems to be hot on her trail, and the Alien Greys and their powerful leader, The Hive Queen have no intention of being stopped. An outrageous mix of graphic horror and dark twisted humor.",,,0.281008,6/28/17,90,Released,Horrifically Funny,Abduction,0,0,https://image.tmdb.org/t/p/original/j98A5tig35OQhVuuS01s0jAmtLx.jpg,"Fantasy, Drama"
45081,FALSE,390747,tt4820284,en,"How do you put a life into 500 words? Ask the staff obituary writers at the New York Times. OBIT is a first-ever glimpse into the daily rituals, joys and existential angst of the Times obit writers, as they chronicle life after death on the front lines of history.",,,1.728108,4/26/17,93,Released,An inside look at life on the New York Times obituaries desk.,Obit,5.3,3,https://image.tmdb.org/t/p/original/6wr5AWNoyXM08Q3NoQXJ3JWCuYP.jpg,Documentary
